playerId,name,season,team,position,games_played,icetime,shifts,gameScore,onIce_corsiPercentage,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_shotAttempts,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,shotsBlockedByPlayer,FiveOnFourPts,FourOnFivePts,YF_Goal,YF_Assist,YF_Shot,YF_Hit,YF_Block,YF_FiveOnFour,YF_FourOnFive,YF_Pts,FiveOnFourIcetime,FourOnFiveIcetime
8478508,Yakov Trenin,2022,NSH,C,77.0,69978.0,1419.0,20.72,0.44,9.0,3.0,140.0,66.0,259.0,12.0,14.0,3.0,167.0,44.0,43.0,132.0,52.0,22.0,4.0,4.0,4.0,30.0,2.0,2.0,36.0,24.0,56,67,12,1,1,197.0,2065.0,9930.0
8482740,Wyatt Johnston,2022,DAL,C,82.0,76170.0,1636.0,41.25,0.53,10.0,7.0,160.0,47.0,281.0,24.0,23.0,5.0,22.0,47.0,55.0,123.0,62.0,22.0,5.0,8.0,11.0,31.0,7.0,0.0,72.0,34.0,64,9,12,3,0,194.0,7867.0,1358.0
8479980,Nicolas Hague,2022,VGK,D,81.0,87922.0,1827.0,19.43,0.46,9.0,5.0,103.0,55.0,248.0,3.0,9.0,1.0,117.0,19.0,25.0,148.0,7.0,3.0,0.0,3.0,0.0,133.0,0.0,0.0,9.0,28.0,41,47,53,0,0,178.0,272.0,3319.0
8478057,Dakota Joshua,2022,VAN,C,79.0,54612.0,1381.0,11.9,0.42,5.0,7.0,71.0,19.0,106.0,11.0,14.0,6.0,222.0,30.0,13.0,34.0,29.0,27.0,0.0,5.0,6.0,30.0,1.0,1.0,33.0,24.0,28,89,12,0,0,186.0,484.0,4515.0
8482745,Mason McTavish,2022,ANA,C,80.0,73797.0,1506.0,26.61,0.51,18.0,8.0,161.0,55.0,269.0,17.0,27.0,5.0,55.0,29.0,32.0,130.0,69.0,17.0,5.0,9.0,3.0,37.0,13.0,0.0,51.0,52.0,64,22,15,5,0,209.0,11824.0,145.0
8479465,Drake Caggiula,2022,PIT,C,4.0,1584.0,39.0,-0.16,0.46,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,2,0,0,0,3.0,0.0,0.0
8483397,Marc McLaughlin,2022,BOS,C,2.0,1207.0,33.0,-0.52,0.37,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,2.0,102.0,53.0
8477429,Andrew Copp,2022,DET,C,82.0,89323.0,1826.0,29.25,0.43,23.0,10.0,120.0,42.0,204.0,9.0,12.0,1.0,32.0,26.0,44.0,107.0,38.0,17.0,3.0,3.0,3.0,45.0,4.0,1.0,27.0,66.0,48,13,18,2,0,174.0,7927.0,11521.0
8477944,Jakub Vrana,2022,STL,L,25.0,21825.0,445.0,13.4,0.49,4.0,1.0,63.0,23.0,107.0,11.0,5.0,2.0,14.0,9.0,9.0,55.0,26.0,5.0,2.0,8.0,1.0,6.0,4.0,0.0,33.0,10.0,25,6,2,2,0,78.0,3162.0,36.0
8480184,Gustav Lindstrom,2022,DET,D,36.0,30606.0,698.0,1.1,0.46,3.0,4.0,18.0,12.0,49.0,1.0,2.0,1.0,39.0,1.0,17.0,26.0,3.0,1.0,0.0,0.0,1.0,34.0,0.0,0.0,3.0,14.0,7,16,14,0,0,54.0,61.0,67.0
8482081,Sean Farrell,2022,MTL,C,6.0,4994.0,104.0,0.1,0.45,0.0,0.0,8.0,3.0,16.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3,0,1,0,0,7.0,446.0,0.0
8481441,Joe Snively,2022,WSH,C,12.0,9069.0,199.0,3.96,0.47,2.0,0.0,16.0,5.0,23.0,2.0,3.0,0.0,4.0,4.0,5.0,13.0,7.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,6.0,4.0,6,2,2,0,0,20.0,71.0,0.0
8475718,Justin Holl,2022,TOR,D,80.0,97159.0,2047.0,22.5,0.44,2.0,14.0,60.0,15.0,109.0,2.0,3.0,2.0,151.0,28.0,56.0,64.0,6.0,5.0,0.0,1.0,1.0,139.0,0.0,0.0,6.0,32.0,24,60,56,0,0,178.0,267.0,13685.0
8479420,Tage Thompson,2022,BUF,C,78.0,87002.0,1716.0,97.45,0.59,27.0,20.0,295.0,115.0,542.0,47.0,22.0,1.0,55.0,43.0,40.0,278.0,93.0,39.0,12.0,18.0,17.0,26.0,29.0,1.0,141.0,94.0,118,22,10,12,0,397.0,14724.0,2496.0
8476454,Ryan Nugent-Hopkins,2022,EDM,C,82.0,97422.0,1876.0,89.27,0.56,28.0,39.0,201.0,65.0,328.0,37.0,20.0,5.0,48.0,56.0,31.0,149.0,81.0,36.0,8.0,13.0,16.0,26.0,52.0,4.0,111.0,134.0,80,19,10,21,2,377.0,17980.0,8753.0
8474037,James van Riemsdyk,2022,PHI,L,61.0,56195.0,1219.0,29.88,0.56,8.0,9.0,119.0,43.0,197.0,12.0,15.0,0.0,18.0,24.0,10.0,94.0,45.0,23.0,1.0,5.0,6.0,20.0,4.0,0.0,36.0,34.0,48,7,8,2,0,135.0,7404.0,16.0
8478491,Jacob Larsson,2022,OTT,D,7.0,5027.0,113.0,0.5,0.51,0.0,0.0,4.0,1.0,12.0,0.0,1.0,0.0,7.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2,3,2,0,0,7.0,0.0,186.0
8478042,Viktor Arvidsson,2022,LAK,R,77.0,78984.0,1642.0,68.62,0.57,25.0,8.0,228.0,87.0,418.0,26.0,19.0,3.0,25.0,19.0,35.0,219.0,64.0,32.0,9.0,6.0,11.0,48.0,23.0,1.0,78.0,66.0,91,10,19,9,0,273.0,9749.0,177.0
8473512,Claude Giroux,2022,OTT,R,82.0,92476.0,2176.0,89.68,0.58,27.0,17.0,214.0,79.0,357.0,35.0,9.0,3.0,75.0,52.0,32.0,182.0,86.0,25.0,5.0,17.0,13.0,30.0,20.0,0.0,105.0,88.0,86,30,12,8,0,329.0,11889.0,4539.0
